CaseID,ResponseTypeA,ResponseTypeB,JaccardDistance
Base_H08_AnchorLed_AccentedEnding,Mirror,Complement,0.538462
Base_H08_AnchorLed_AccentedEnding,Mirror,Simplify,0.7
Base_H08_AnchorLed_AccentedEnding,Mirror,Intensify,0.470588
Base_H08_AnchorLed_AccentedEnding,Mirror,Contrast,0.75
Base_H08_AnchorLed_AccentedEnding,Mirror,Fill,0.578947
Base_H08_AnchorLed_AccentedEnding,Complement,Simplify,0.909091
Base_H08_AnchorLed_AccentedEnding,Complement,Intensify,0.611111
Base_H08_AnchorLed_AccentedEnding,Complement,Contrast,0.538462
Base_H08_AnchorLed_AccentedEnding,Complement,Fill,0.555556
Base_H08_AnchorLed_AccentedEnding,Simplify,Intensify,0.8125
Base_H08_AnchorLed_AccentedEnding,Simplify,Contrast,0.916667
Base_H08_AnchorLed_AccentedEnding,Simplify,Fill,0.823529
Base_H08_AnchorLed_AccentedEnding,Intensify,Contrast,0.555556
Base_H08_AnchorLed_AccentedEnding,Intensify,Fill,0.35
Base_H08_AnchorLed_AccentedEnding,Contrast,Fill,0.411765
Base_H08_AnchorLed_Flat,Mirror,Complement,0.538462
Base_H08_AnchorLed_Flat,Mirror,Simplify,0.8
Base_H08_AnchorLed_Flat,Mirror,Intensify,0.470588
Base_H08_AnchorLed_Flat,Mirror,Contrast,0.666667
Base_H08_AnchorLed_Flat,Mirror,Fill,0.526316
Base_H08_AnchorLed_Flat,Complement,Simplify,0.9
Base_H08_AnchorLed_Flat,Complement,Intensify,0.611111
Base_H08_AnchorLed_Flat,Complement,Contrast,0.538462
Base_H08_AnchorLed_Flat,Complement,Fill,0.5
Base_H08_AnchorLed_Flat,Simplify,Intensify,0.875
Base_H08_AnchorLed_Flat,Simplify,Contrast,0.909091
Base_H08_AnchorLed_Flat,Simplify,Fill,0.888889
Base_H08_AnchorLed_Flat,Intensify,Contrast,0.555556
Base_H08_AnchorLed_Flat,Intensify,Fill,0.3
Base_H08_AnchorLed_Flat,Contrast,Fill,0.444444
Base_H08_AnchorLed_Increasing,Mirror,Complement,0.538462
Base_H08_AnchorLed_Increasing,Mirror,Simplify,0.7
Base_H08_AnchorLed_Increasing,Mirror,Intensify,0.470588
Base_H08_AnchorLed_Increasing,Mirror,Contrast,0.75
Base_H08_AnchorLed_Increasing,Mirror,Fill,0.578947
Base_H08_AnchorLed_Increasing,Complement,Simplify,0.909091
Base_H08_AnchorLed_Increasing,Complement,Intensify,0.611111
Base_H08_AnchorLed_Increasing,Complement,Contrast,0.538462
Base_H08_AnchorLed_Increasing,Complement,Fill,0.555556
Base_H08_AnchorLed_Increasing,Simplify,Intensify,0.8125
Base_H08_AnchorLed_Increasing,Simplify,Contrast,0.916667
Base_H08_AnchorLed_Increasing,Simplify,Fill,0.823529
Base_H08_AnchorLed_Increasing,Intensify,Contrast,0.555556
Base_H08_AnchorLed_Increasing,Intensify,Fill,0.35
