SourceId,SourceLabel,SourceCategory,ResponseType,BuilderVersion,PlannerSelected,TotalSteps,SourceHitCount,SourceDensity,SourceHitIndices,SourceSegmentCounts,SourceEndingHitCount,SourceAnchorIndices,SourceAnchorCount,TargetDensity,TargetCount,PreserveAnchors,MirrorEnding,ComplementarityBias,SelectedHitIndices,SelectedHitCount,SelectedDensity,SelectedWeakCount,SelectedMediumCount,SelectedStrongCount,SelectedStrongestCount,SelectedSegmentCounts,SelectedEndingHitCount,SelectedAnchorHitCount,OverlapCount,GapFillCount,OverlapRatio,GapFillRatio,AnchorPreservationRatio,EndingOverlapCount,EndingGapCount,WeakStepRatio,StrongestStepRatio,MetricTierDistribution,SegmentDifferenceFromSource,EndingBias,InterstitialBias,SelectedStepDebug
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Mirror,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|27|41|42|54|66|68|81|93,10,0.104167,2,3,3,2,2|3|3|2,1,1,6,4,0.6,0.4,1,0,1,0.2,0.2,weak:2|medium:3|strong:3|strongest:2,0.2,-0.025,0.1,0:Strongest:score=1.897143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.018519:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.91:src=1:anchor=0:end=0:forcedEnd=0 | 41:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.726221:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.156429:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.697805:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.903:src=1:anchor=0:end=0:forcedEnd=0 | 93:Medium:score=0.507867:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Complement,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.333143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.356023:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=1.103149:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.431863:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.467703:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.168294:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Simplify,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.555609:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=0.970886:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.754895:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=0.984082:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.040082:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.639095:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Intensify,SkeletonBuilder.PostArchitectureRevamp,True,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|6|12|15|18|24|27|30|36|39|42|48|51|54|60|66|69|72|78|81|84|87|90|93,24,0.25,0,8,8,8,5|6|6|7,4,1,4,20,0.166667,0.833333,1,0,4,0,0.333333,weak:0|medium:8|strong:8|strongest:8,0.083333,0.041667,0.25,0:Strongest:score=1.196762:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.788832:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.228442:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.733587:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.788832:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.102642:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.674667:src=1:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.803832:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.102642:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.706347:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.986872:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.127842:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.590747:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.938152:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.127842:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.969832:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.773787:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.120842:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.822032:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.692867:src=1:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.186922:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.636896:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.893051:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.813434:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Contrast,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,False,False,0.6,12|24|36|42|48|60|66|72|84|90,10,0.104167,0,0,3,7,1|3|3|3,2,0,0,10,0,1,0,0,2,0,0.7,weak:0|medium:0|strong:3|strongest:7,0.3,0.075,0,12:Strongest:score=1.271455:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.175051:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.175051:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.076147:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.175051:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.175051:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.965741:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.168051:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.179251:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.876927:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Fill,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.258333,25,False,False,0.65,3|6|12|18|24|30|33|36|39|42|45|48|51|57|60|63|66|69|72|75|78|84|87|90|93,25,0.260417,0,11,7,7,4|7|7|7,4,0,0,25,0,1,0,0,4,0,0.28,weak:0|medium:11|strong:7|strongest:7,0.18,0.035,0.44,3:Medium:score=0.952:src=0:anchor=0:end=0:forcedEnd=0 | 6:Strong:score=1.073975:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.402952:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=1.073975:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.351751:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=1.088975:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.351751:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.094857:src=0:anchor=0:end=0:forcedEnd=0 | 45:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.351751:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.351751:src=0:anchor=0:end=0:forcedEnd=0 | 63:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=1.094857:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.967:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.344751:src=0:anchor=0:end=0:forcedEnd=0 | 75:Medium:score=0.96:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=1.081975:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.380591:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=1.013993:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.154121:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=1.050298:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Mirror,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|27|42|43|54|66|68|81|93,10,0.104167,2,3,3,2,2|3|3|2,1,1,6,4,0.6,0.4,1,0,1,0.2,0.2,weak:2|medium:3|strong:3|strongest:2,0.2,-0.025,0.1,0:Strongest:score=1.897143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.018519:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.91:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.726221:src=0:anchor=0:end=0:forcedEnd=0 | 43:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.156429:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.697805:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.903:src=1:anchor=0:end=0:forcedEnd=0 | 93:Medium:score=0.507867:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Complement,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.333143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.356023:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=1.103149:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.438863:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.431863:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.467703:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.168294:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Simplify,SkeletonBuilder.PostArchitectureRevamp,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.555609:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=0.970886:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.754895:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=0.991082:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=0.984082:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.040082:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.639095:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Intensify,SkeletonBuilder.PostArchitectureRevamp,True,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|6|12|15|18|24|27|30|36|42|45|48|51|54|60|66|69|72|78|81|84|87|90|93,24,0.25,0,8,8,8,5|6|6|7,4,1,4,20,0.166667,0.833333,1,0,4,0,0.333333,weak:0|medium:8|strong:8|strongest:8,0.083333,0.041667,0.25,0:Strongest:score=1.196762:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.788832:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.228442:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.733587:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.788832:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.102642:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.674667:src=1:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.803832:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.102642:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.986872:src=0:anchor=0:end=0:forcedEnd=0 | 45:Medium:score=0.706347:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.127842:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.590747:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.938152:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.127842:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.969832:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.773787:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.120842:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.822032:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.692867:src=1:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.186922:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.636896:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.893051:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.813434:src=0:anchor=0:end=1:forcedEnd=0
