SourceId,SourceLabel,SourceCategory,ResponseType,BuilderVersion,PlannerSelected,TotalSteps,SourceHitCount,SourceDensity,SourceHitIndices,SourceSegmentCounts,SourceEndingHitCount,SourceAnchorIndices,SourceAnchorCount,TargetDensity,TargetCount,PreserveAnchors,MirrorEnding,ComplementarityBias,SelectedHitIndices,SelectedHitCount,SelectedDensity,SelectedWeakCount,SelectedMediumCount,SelectedStrongCount,SelectedStrongestCount,SelectedSegmentCounts,SelectedEndingHitCount,SelectedAnchorHitCount,OverlapCount,GapFillCount,OverlapRatio,GapFillRatio,AnchorPreservationRatio,EndingOverlapCount,EndingGapCount,WeakStepRatio,StrongestStepRatio,MetricTierDistribution,SegmentDifferenceFromSource,EndingBias,InterstitialBias,SelectedStepDebug
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Mirror,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|27|41|42|54|66|68|81|93,10,0.104167,2,3,3,2,2|3|3|2,1,1,6,4,0.6,0.4,1,0,1,0.2,0.2,weak:2|medium:3|strong:3|strongest:2,0.2,-0.025,0.1,0:Strongest:score=1.897143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.032727:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.91:src=1:anchor=0:end=0:forcedEnd=0 | 41:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.740429:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.156429:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.712013:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.903:src=1:anchor=0:end=0:forcedEnd=0 | 93:Medium:score=0.522075:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Complement,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|36|42|48|66|69|84|93,10,0.104167,0,2,2,6,2|3|3|2,2,1,1,9,0.1,0.9,1,0,2,0,0.6,weak:0|medium:2|strong:2|strongest:6,0.2,0.075,0.2,0:Strongest:score=0.913143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.322103:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.404943:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.404943:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.018349:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.404943:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=1.001389:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.77192:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.424823:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.815684:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Simplify,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|42|54|66,5,0.052083,0,0,3,2,2|1|2|0,0,1,2,3,0.4,0.6,1,0,0,0,0.4,weak:0|medium:0|strong:3|strongest:2,0.6,-0.125,0,0:Strongest:score=1.555609:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.012448:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.636929:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.754895:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.631734:src=0:anchor=0:end=0:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Intensify,SkeletonBuilder.PostArchitectureRevamp_v2,True,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|12|15|27|39|41|42|48|53|54|55|60|66|68|69|72|80|81|82|84|93|94|95,23,0.239583,8,6,3,6,3|4|8|8,4,1,7,16,0.304348,0.695652,1,1,3,0.347826,0.26087,weak:8|medium:6|strong:3|strongest:6,0.391304,0.048913,0.391304,0:Strongest:score=1.188362:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.177802:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.802947:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.786267:src=1:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.775707:src=0:anchor=0:end=0:forcedEnd=0 | 41:Weak:score=0.313981:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.926232:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.077202:src=0:anchor=0:end=0:forcedEnd=0 | 53:Weak:score=0.335661:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.919752:src=1:anchor=0:end=0:forcedEnd=0 | 55:Weak:score=0.335661:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.077202:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.909192:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.339181:src=1:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.843147:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.103802:src=0:anchor=0:end=0:forcedEnd=0 | 80:Weak:score=0.362261:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.838067:src=1:anchor=0:end=0:forcedEnd=0 | 82:Weak:score=0.362261:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.169882:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.916394:src=0:anchor=0:end=1:forcedEnd=0 | 94:Weak:score=0.362261:src=0:anchor=0:end=1:forcedEnd=0 | 95:Weak:score=0.421781:src=1:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Contrast,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,False,False,0.6,0|12|15|26|42|66|69|84|93|94,10,0.104167,2,3,2,3,3|2|2|3,3,1,1,9,0.1,0.9,1,0,3,0.2,0.3,weak:2|medium:3|strong:2|strongest:3,0.2,0.175,0.5,0:Strongest:score=0.784076:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.192838:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.711101:src=0:anchor=0:end=0:forcedEnd=0 | 26:Weak:score=0.350673:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.06753:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.957124:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.726101:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.100633:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.65455:src=0:anchor=0:end=1:forcedEnd=0 | 94:Weak:score=0.403891:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Fill,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.258333,25,False,False,0.65,0|1|12|13|15|24|26|27|28|36|39|40|42|53|54|55|66|67|69|80|81|82|84|93|94,25,0.260417,11,6,3,5,5|8|6|6,3,1,4,21,0.16,0.84,1,0,3,0.44,0.2,weak:11|medium:6|strong:3|strongest:5,0.14,-0.005,0.6,0:Strongest:score=0.932232:src=1:anchor=1:end=0:forcedEnd=0 | 1:Weak:score=0.525692:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.241112:src=0:anchor=0:end=0:forcedEnd=0 | 13:Weak:score=0.525692:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.807549:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.143085:src=0:anchor=0:end=0:forcedEnd=0 | 26:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.49628:src=1:anchor=0:end=0:forcedEnd=0 | 28:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.143085:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.80516:src=0:anchor=0:end=0:forcedEnd=0 | 40:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.950406:src=0:anchor=0:end=0:forcedEnd=0 | 53:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.624137:src=1:anchor=0:end=0:forcedEnd=0 | 55:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.933017:src=0:anchor=0:end=0:forcedEnd=0 | 67:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.822549:src=0:anchor=0:end=0:forcedEnd=0 | 80:Weak:score=0.533692:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.48928:src=1:anchor=0:end=0:forcedEnd=0 | 82:Weak:score=0.533692:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.162965:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.865884:src=0:anchor=0:end=1:forcedEnd=0 | 94:Weak:score=0.605954:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Mirror,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|27|42|43|54|66|68|81|93,10,0.104167,2,3,3,2,2|3|3|2,1,1,6,4,0.6,0.4,1,0,1,0.2,0.2,weak:2|medium:3|strong:3|strongest:2,0.2,-0.025,0.1,0:Strongest:score=1.897143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.032727:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.91:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.740429:src=0:anchor=0:end=0:forcedEnd=0 | 43:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.156429:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.712013:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.903:src=1:anchor=0:end=0:forcedEnd=0 | 93:Medium:score=0.522075:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Complement,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|36|42|48|66|69|84|93,10,0.104167,0,2,2,6,2|3|3|2,2,1,1,9,0.1,0.9,1,0,2,0,0.6,weak:0|medium:2|strong:2|strongest:6,0.2,0.075,0.2,0:Strongest:score=0.913143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.322103:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.404943:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.404943:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.018349:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.404943:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=1.001389:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.77192:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.424823:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.815684:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Simplify,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|42|54|66,5,0.052083,0,0,3,2,2|1|2|0,0,1,2,3,0.4,0.6,1,0,0,0,0.4,weak:0|medium:0|strong:3|strongest:2,0.6,-0.125,0,0:Strongest:score=1.555609:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.012448:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.636929:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.754895:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.631734:src=0:anchor=0:end=0:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Intensify,SkeletonBuilder.PostArchitectureRevamp_v2,True,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|12|15|27|42|43|45|48|53|54|55|60|66|68|69|72|80|81|82|84|93|94|95,23,0.239583,8,6,3,6,3|4|8|8,4,1,7,16,0.304348,0.695652,1,1,3,0.347826,0.26087,weak:8|medium:6|strong:3|strongest:6,0.391304,0.048913,0.391304,0:Strongest:score=1.188362:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.177802:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.802947:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.786267:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.926232:src=0:anchor=0:end=0:forcedEnd=0 | 43:Weak:score=0.313981:src=1:anchor=0:end=0:forcedEnd=0 | 45:Medium:score=0.775707:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.077202:src=0:anchor=0:end=0:forcedEnd=0 | 53:Weak:score=0.335661:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.919752:src=1:anchor=0:end=0:forcedEnd=0 | 55:Weak:score=0.335661:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.077202:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.909192:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.339181:src=1:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.843147:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.103802:src=0:anchor=0:end=0:forcedEnd=0 | 80:Weak:score=0.362261:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.838067:src=1:anchor=0:end=0:forcedEnd=0 | 82:Weak:score=0.362261:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.169882:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.916394:src=0:anchor=0:end=1:forcedEnd=0 | 94:Weak:score=0.362261:src=0:anchor=0:end=1:forcedEnd=0 | 95:Weak:score=0.421781:src=1:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Contrast,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,False,False,0.6,0|12|15|26|42|66|69|84|93|94,10,0.104167,2,3,2,3,3|2|2|3,3,1,1,9,0.1,0.9,1,0,3,0.2,0.3,weak:2|medium:3|strong:2|strongest:3,0.2,0.175,0.5,0:Strongest:score=0.784076:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.192838:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.711101:src=0:anchor=0:end=0:forcedEnd=0 | 26:Weak:score=0.350673:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.06753:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.957124:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.726101:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.100633:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.65455:src=0:anchor=0:end=1:forcedEnd=0 | 94:Weak:score=0.403891:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Fill,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.258333,25,False,False,0.65,0|1|12|13|15|24|26|27|28|36|42|44|45|53|54|55|66|67|69|80|81|82|84|93|94,25,0.260417,11,6,3,5,5|8|6|6,3,1,4,21,0.16,0.84,1,0,3,0.44,0.2,weak:11|medium:6|strong:3|strongest:5,0.14,-0.005,0.6,0:Strongest:score=0.932232:src=1:anchor=1:end=0:forcedEnd=0 | 1:Weak:score=0.525692:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.241112:src=0:anchor=0:end=0:forcedEnd=0 | 13:Weak:score=0.525692:src=0:anchor=0:end=0:forcedEnd=0 | 15:Medium:score=0.807549:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.143085:src=0:anchor=0:end=0:forcedEnd=0 | 26:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.49628:src=1:anchor=0:end=0:forcedEnd=0 | 28:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.143085:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.950406:src=0:anchor=0:end=0:forcedEnd=0 | 44:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 45:Medium:score=0.80516:src=0:anchor=0:end=0:forcedEnd=0 | 53:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.624137:src=1:anchor=0:end=0:forcedEnd=0 | 55:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.933017:src=0:anchor=0:end=0:forcedEnd=0 | 67:Weak:score=0.540692:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.822549:src=0:anchor=0:end=0:forcedEnd=0 | 80:Weak:score=0.533692:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.48928:src=1:anchor=0:end=0:forcedEnd=0 | 82:Weak:score=0.533692:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.162965:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.865884:src=0:anchor=0:end=1:forcedEnd=0 | 94:Weak:score=0.605954:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Increasing,Even Increasing H08 Base,Even/Increasing,Mirror,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0|95,2,0.1,10,True,True,0.225,0|12|27|41|42|54|66|68|81|95,10,0.104167,3,2,3,2,2|3|3|2,1,2,7,3,0.7,0.3,1,1,0,0.3,0.2,weak:3|medium:2|strong:3|strongest:2,0.2,-0.025,0,0:Strongest:score=1.897143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.032957:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.91:src=1:anchor=0:end=0:forcedEnd=0 | 41:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.740429:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.156429:src=1:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.712243:src=0:anchor=0:end=0:forcedEnd=0 | 68:Weak:score=0.509571:src=1:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.903:src=1:anchor=0:end=0:forcedEnd=0 | 95:Weak:score=1.042571:src=1:anchor=1:end=1:forcedEnd=0
Base_H08_Even_Increasing,Even Increasing H08 Base,Even/Increasing,Complement,SkeletonBuilder.PostArchitectureRevamp_v2,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0|95,2,0.1,10,True,False,0.675,0|12|24|36|42|48|66|69|84|93,10,0.104167,0,2,2,6,2|3|3|2,2,1,1,9,0.1,0.9,0.5,0,2,0,0.6,weak:0|medium:2|strong:2|strongest:6,0.2,0.075,0.2,0:Strongest:score=0.913143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.320483:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.402843:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.402843:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=1.016608:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.402843:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.999769:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.77018:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.422723:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.814064:src=0:anchor=0:end=1:forcedEnd=0
