CaseId,StructureType,EnergyProfile,VariantKind,ParentCaseId,GenerationMode,VariantSeed,NominalHitCount,ActualHitCount,StepCount,Density,MeanEnergy,PeakEnergy,AnchorCount,HasOpeningAnchor,HasClosingAnchor,EndDensity,EndEnergy,EndAccent,DensityShape,EnergyShape,SelectedResponseType,TargetDensity,ComplementarityBias,PreserveAnchors,MirrorEnding,SnapshotSelectedResponseType,PlannerDescriptorSummary,PlannerSourceDensity,PlannerSourceEnergy,Score_Mirror,Score_Complement,Score_Simplify,Score_Intensify,Score_Contrast,Score_Fill
Base_H08_Even_Flat,Even,Flat,Base,,BasePlusVariants,,8,8,96,0.083333,84,84,1,True,False,0.083333,84,84,Flat,Flat,Intensify,0.253333,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, BalancedProfile",0.083333,0.661417,3.75,3.875,-2.5,4.125,-0.25,3.125
Variant_H08_Even_Flat,Even,Flat,Variant,Base_H08_Even_Flat,BasePlusVariants,492428542,8,8,96,0.083333,83.625,88,1,True,False,0.083333,81.5,83,Flat,MidPeak,Intensify,0.253333,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, BalancedProfile",0.083333,0.658465,3.75,3.875,-2.5,4.125,-0.25,3.125
Base_H08_Even_Increasing,Even,Increasing,Base,,BasePlusVariants,,8,8,96,0.083333,89,108,2,True,True,0.083333,105,108,Flat,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.700787,1.875,1,-0.125,2.5,1.75,2
Variant_H08_Even_Increasing,Even,Increasing,Variant,Base_H08_Even_Increasing,BasePlusVariants,217418322,8,8,96,0.083333,88.875,111,2,True,True,0.083333,105,111,Flat,Increasing,Mirror,0.1,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.699803,3.875,2.5,-2.125,3.5,0.75,2
Base_H08_Even_AccentedEnding,Even,AccentedEnding,Base,,BasePlusVariants,,8,8,96,0.083333,90.5,110,2,True,True,0.083333,110,110,Flat,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.712598,1.875,1,-0.125,2.5,1.75,2
Variant_H08_Even_AccentedEnding,Even,AccentedEnding,Variant,Base_H08_Even_AccentedEnding,BasePlusVariants,638797041,8,8,96,0.083333,91.125,110,2,True,True,0.083333,109.5,110,Flat,Increasing,Intensify,0.240833,0.5,False,False,Intensify,"Sparse, HighEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.71752,1.875,1,-0.125,2.5,1.75,2
Base_H08_FrontLoaded_Flat,FrontLoaded,Flat,Base,,BasePlusVariants,,8,8,96,0.083333,84,84,2,True,False,0.083333,84,84,FrontLoaded,Flat,Intensify,0.253333,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.083333,0.661417,2.625,3.125,-2.125,4.125,0.75,3.125
Variant_H08_FrontLoaded_Flat,FrontLoaded,Flat,Variant,Base_H08_FrontLoaded_Flat,BasePlusVariants,1044213724,8,8,96,0.083333,86.125,88,2,True,False,0.083333,85,87,FrontLoaded,Decreasing,Intensify,0.253333,0.5,False,False,Intensify,"Sparse, MediumEnergy, MeaningfulAnchors, FrontLoaded, PredictableProfile",0.083333,0.67815,2.625,3.125,-2.125,4.125,0.75,3.125
Base_H08_FrontLoaded_Increasing,FrontLoaded,Increasing,Base,,BasePlusVariants,,8,8,96,0.083333,86.75,108,4,True,True,0.083333,103.5,108,FrontLoaded,Increasing,Mirror,0.1,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.683071,3.875,2.5,-2.125,3.5,0.75,2
Variant_H08_FrontLoaded_Increasing,FrontLoaded,Increasing,Variant,Base_H08_FrontLoaded_Increasing,BasePlusVariants,960382196,8,8,96,0.083333,88.125,111,4,True,True,0.083333,106.5,111,FrontLoaded,Increasing,Mirror,0.1,0.225,True,True,Mirror,"Sparse, MediumEnergy, MeaningfulAnchors, StrongEnding, BackLoaded, PredictableProfile",0.083333,0.693898,3.875,2.5,-2.125,3.5,0.75,2
