SourceId,SourceLabel,SourceCategory,ResponseType,BuilderVersion,PlannerSelected,TotalSteps,SourceHitCount,SourceDensity,SourceHitIndices,SourceSegmentCounts,SourceEndingHitCount,SourceAnchorIndices,SourceAnchorCount,TargetDensity,TargetCount,PreserveAnchors,MirrorEnding,ComplementarityBias,SelectedHitIndices,SelectedHitCount,SelectedDensity,SelectedWeakCount,SelectedMediumCount,SelectedStrongCount,SelectedStrongestCount,SelectedSegmentCounts,SelectedEndingHitCount,SelectedAnchorHitCount,OverlapCount,GapFillCount,OverlapRatio,GapFillRatio,AnchorPreservationRatio,EndingOverlapCount,EndingGapCount,WeakStepRatio,StrongestStepRatio,MetricTierDistribution,SegmentDifferenceFromSource,EndingBias,InterstitialBias,SelectedStepDebug
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Mirror,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|24|27|36|48|54|60|72|84,10,0.104167,0,1,1,8,2|3|3|2,1,1,3,7,0.3,0.7,1,0,1,0,0.8,weak:0|medium:1|strong:1|strongest:8,0.2,-0.025,0,0:Strongest:score=1.861143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.051383:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.854:src=1:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.095429:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.066383:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.074783:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Complement,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.335143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.365143:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=1.019428:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.380143:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.405343:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.060792:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Simplify,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.585943:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.064759:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.790229:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.079759:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.135759:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.724772:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Intensify,SkeletonBuilder.Phase1Tuned.v1,True,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|6|12|18|24|27|30|33|36|39|42|48|51|54|57|60|66|72|78|81|84|87|90|93,24,0.25,0,8,8,8,4|7|6|7,4,1,4,20,0.166667,0.833333,1,0,4,0,0.333333,weak:0|medium:8|strong:8|strongest:8,0.166667,0.041667,0.25,0:Strongest:score=1.233295:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.777406:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.131215:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.777406:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.6812:src=1:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.807406:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.807406:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.909486:src=1:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.807406:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.146215:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.792406:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.6662:src=1:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.202215:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.602084:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.843133:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.627611:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Contrast,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,False,False,0.6,12|24|30|36|42|48|60|72|84|90,10,0.104167,0,0,3,7,1|4|2|3,2,0,0,10,0,1,0,0,2,0,0.7,weak:0|medium:0|strong:3|strongest:7,0.4,0.075,0,12:Strongest:score=1.315063:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.345063:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.999349:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.345063:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.999349:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.345063:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.345063:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.330063:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.341263:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.013939:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Fill,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.258333,25,False,False,0.65,0|6|12|18|24|30|33|36|39|42|45|48|51|57|60|63|66|69|72|75|78|84|87|90|93,25,0.260417,0,10,7,8,4|7|7|7,4,1,1,24,0.04,0.96,1,0,4,0,0.32,weak:0|medium:10|strong:7|strongest:8,0.18,0.035,0.4,0:Strongest:score=0.971032:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.937217:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.136392:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.937217:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.166392:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.967217:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.166392:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.967217:src=0:anchor=0:end=0:forcedEnd=0 | 45:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.166392:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.166392:src=0:anchor=0:end=0:forcedEnd=0 | 63:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.967217:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.80016:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.151392:src=0:anchor=0:end=0:forcedEnd=0 | 75:Medium:score=0.78516:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.952217:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.159792:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.842105:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.021263:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.880396:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Mirror,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|24|27|36|48|54|60|72|84,10,0.104167,0,1,1,8,2|3|3|2,1,1,3,7,0.3,0.7,1,0,1,0,0.8,weak:0|medium:1|strong:1|strongest:8,0.2,-0.025,0,0:Strongest:score=1.861143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.051383:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.854:src=1:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.095429:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.081383:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.066383:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.074783:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Complement,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.335143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.365143:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=1.019428:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.395143:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.380143:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.405343:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.060792:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Simplify,SkeletonBuilder.Phase1Tuned.v1,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.585943:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.064759:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.790229:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.094759:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.079759:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.135759:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.724772:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Intensify,SkeletonBuilder.Phase1Tuned.v1,True,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|6|12|18|24|27|30|33|36|39|42|48|51|54|57|60|66|72|78|81|84|87|90|93,24,0.25,0,8,8,8,4|7|6|7,4,1,4,20,0.166667,0.833333,1,0,4,0,0.333333,weak:0|medium:8|strong:8|strongest:8,0.166667,0.041667,0.25,0:Strongest:score=1.233295:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.777406:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.131215:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.777406:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.6812:src=1:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.807406:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.807406:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.909486:src=1:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.57912:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.161215:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.807406:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.146215:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.792406:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.6662:src=1:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.202215:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.602084:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.843133:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.627611:src=0:anchor=0:end=1:forcedEnd=0
