PairKey,BaseCaseID,VariantCaseID,BaseSelectedResponseType,VariantSelectedResponseType,ResponseTypeChanged,BaseTopScore,VariantTopScore,BaseMargin,VariantMargin,BaseStructureType,VariantStructureType,BaseEnergyProfile,VariantEnergyProfile
H08_AnchorLed_AccentedEnding,Base_H08_AnchorLed_AccentedEnding,Variant_H08_AnchorLed_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H08_AnchorLed_Flat,Base_H08_AnchorLed_Flat,Variant_H08_AnchorLed_Flat,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,Flat,Flat
H08_AnchorLed_Increasing,Base_H08_AnchorLed_Increasing,Variant_H08_AnchorLed_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,AnchorLed,AnchorLed,Increasing,Increasing
H08_BackLoaded_AccentedEnding,Base_H08_BackLoaded_AccentedEnding,Variant_H08_BackLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H08_BackLoaded_Flat,Base_H08_BackLoaded_Flat,Variant_H08_BackLoaded_Flat,Fill,Fill,False,4.125,4.125,0.25,0.25,BackLoaded,BackLoaded,Flat,Flat
H08_BackLoaded_Increasing,Base_H08_BackLoaded_Increasing,Variant_H08_BackLoaded_Increasing,Intensify,Fill,True,2.5,3.875,0.5,0.25,BackLoaded,BackLoaded,Increasing,Increasing
H08_Clustered_AccentedEnding,Base_H08_Clustered_AccentedEnding,Variant_H08_Clustered_AccentedEnding,Fill,Fill,False,3.875,3.875,0.25,0.25,Clustered,Clustered,AccentedEnding,AccentedEnding
H08_Clustered_Flat,Base_H08_Clustered_Flat,Variant_H08_Clustered_Flat,Intensify,Intensify,False,4.625,4.625,0.75,1.5,Clustered,Clustered,Flat,Flat
H08_Clustered_Increasing,Base_H08_Clustered_Increasing,Variant_H08_Clustered_Increasing,Intensify,Intensify,False,4.625,4.625,0.75,0.75,Clustered,Clustered,Increasing,Increasing
H08_Even_AccentedEnding,Base_H08_Even_AccentedEnding,Variant_H08_Even_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,Even,Even,AccentedEnding,AccentedEnding
H08_Even_Flat,Base_H08_Even_Flat,Variant_H08_Even_Flat,Intensify,Intensify,False,4.125,4.125,0.25,0.25,Even,Even,Flat,Flat
H08_Even_Increasing,Base_H08_Even_Increasing,Variant_H08_Even_Increasing,Intensify,Mirror,True,2.5,3.875,0.5,0.375,Even,Even,Increasing,Increasing
H08_FrontLoaded_AccentedEnding,Base_H08_FrontLoaded_AccentedEnding,Variant_H08_FrontLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,FrontLoaded,FrontLoaded,AccentedEnding,AccentedEnding
H08_FrontLoaded_Flat,Base_H08_FrontLoaded_Flat,Variant_H08_FrontLoaded_Flat,Intensify,Intensify,False,4.125,4.125,1,1,FrontLoaded,FrontLoaded,Flat,Flat
H08_FrontLoaded_Increasing,Base_H08_FrontLoaded_Increasing,Variant_H08_FrontLoaded_Increasing,Mirror,Mirror,False,3.875,3.875,0.375,0.375,FrontLoaded,FrontLoaded,Increasing,Increasing
H12_AnchorLed_AccentedEnding,Base_H12_AnchorLed_AccentedEnding,Variant_H12_AnchorLed_AccentedEnding,Fill,Intensify,True,3.875,2.5,0.75,0.5,AnchorLed,AnchorLed,AccentedEnding,AccentedEnding
H12_AnchorLed_Flat,Base_H12_AnchorLed_Flat,Variant_H12_AnchorLed_Flat,Fill,Fill,False,4.125,4.125,0.25,0.25,AnchorLed,AnchorLed,Flat,Flat
H12_AnchorLed_Increasing,Base_H12_AnchorLed_Increasing,Variant_H12_AnchorLed_Increasing,Fill,Fill,False,3.875,3.875,0.75,0.75,AnchorLed,AnchorLed,Increasing,Increasing
H12_BackLoaded_AccentedEnding,Base_H12_BackLoaded_AccentedEnding,Variant_H12_BackLoaded_AccentedEnding,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,AccentedEnding,AccentedEnding
H12_BackLoaded_Flat,Base_H12_BackLoaded_Flat,Variant_H12_BackLoaded_Flat,Fill,Fill,False,4.125,4.125,0.25,0.25,BackLoaded,BackLoaded,Flat,Flat
H12_BackLoaded_Increasing,Base_H12_BackLoaded_Increasing,Variant_H12_BackLoaded_Increasing,Intensify,Intensify,False,2.5,2.5,0.5,0.5,BackLoaded,BackLoaded,Increasing,Increasing
