ExampleType,PairKey,BaseCaseID,VariantCaseID,BaseSelectedResponseType,VariantSelectedResponseType,BaseMargin,VariantMargin
Changed,H16_Clustered_Flat,Base_H16_Clustered_Flat,Variant_H16_Clustered_Flat,Mirror,Intensify,0,1.125
Changed,H36_Clustered_Flat,Base_H36_Clustered_Flat,Variant_H36_Clustered_Flat,Mirror,Complement,0,0.375
Changed,H08_BackLoaded_Increasing,Base_H08_BackLoaded_Increasing,Variant_H08_BackLoaded_Increasing,Intensify,Fill,0.5,0.25
Changed,H12_Clustered_Increasing,Base_H12_Clustered_Increasing,Variant_H12_Clustered_Increasing,Fill,Intensify,0.25,0.75
Changed,H28_BackLoaded_Increasing,Base_H28_BackLoaded_Increasing,Variant_H28_BackLoaded_Increasing,Intensify,Contrast,0.5,0.25
Unchanged,H12_Even_Flat,Base_H12_Even_Flat,Variant_H12_Even_Flat,Intensify,Intensify,0.25,1
Unchanged,H36_AnchorLed_Flat,Base_H36_AnchorLed_Flat,Variant_H36_AnchorLed_Flat,Complement,Complement,0.875,0.5
Unchanged,H40_Clustered_AccentedEnding,Base_H40_Clustered_AccentedEnding,Variant_H40_Clustered_AccentedEnding,Contrast,Contrast,0.875,0.5
Unchanged,H08_AnchorLed_Flat,Base_H08_AnchorLed_Flat,Variant_H08_AnchorLed_Flat,Fill,Fill,0.75,0.75
Unchanged,H36_BackLoaded_AccentedEnding,Base_H36_BackLoaded_AccentedEnding,Variant_H36_BackLoaded_AccentedEnding,Mirror,Mirror,0.5,0.5
