Section,GroupField,GroupValue,BaseSelectedResponseType,VariantSelectedResponseType,PairCount,ChangedCount,PercentageChanged
Overall,All,All,,,150,35,23.33
Grouped,BaseStructureType,AnchorLed,,,30,12,40.00
Grouped,BaseStructureType,BackLoaded,,,30,5,16.67
Grouped,BaseStructureType,Clustered,,,30,7,23.33
Grouped,BaseStructureType,Even,,,30,4,13.33
Grouped,BaseStructureType,FrontLoaded,,,30,7,23.33
Grouped,BaseEnergyProfile,AccentedEnding,,,50,8,16.00
Grouped,BaseEnergyProfile,Flat,,,50,12,24.00
Grouped,BaseEnergyProfile,Increasing,,,50,15,30.00
Grouped,BaseSelectedResponseType,Complement,,,17,3,17.65
Grouped,BaseSelectedResponseType,Contrast,,,10,1,10.00
Grouped,BaseSelectedResponseType,Fill,,,37,15,40.54
Grouped,BaseSelectedResponseType,Intensify,,,52,6,11.54
Grouped,BaseSelectedResponseType,Mirror,,,34,10,29.41
ChangeMatrix,BaseToVariantResponseType,Complement->Complement,Complement,Complement,14,0,0.00
ChangeMatrix,BaseToVariantResponseType,Complement->Contrast,Complement,Contrast,1,1,100.00
ChangeMatrix,BaseToVariantResponseType,Complement->Mirror,Complement,Mirror,2,2,100.00
ChangeMatrix,BaseToVariantResponseType,Contrast->Complement,Contrast,Complement,1,1,100.00
ChangeMatrix,BaseToVariantResponseType,Contrast->Contrast,Contrast,Contrast,9,0,0.00
ChangeMatrix,BaseToVariantResponseType,Fill->Contrast,Fill,Contrast,1,1,100.00
ChangeMatrix,BaseToVariantResponseType,Fill->Fill,Fill,Fill,22,0,0.00
ChangeMatrix,BaseToVariantResponseType,Fill->Intensify,Fill,Intensify,14,14,100.00
ChangeMatrix,BaseToVariantResponseType,Intensify->Contrast,Intensify,Contrast,1,1,100.00
ChangeMatrix,BaseToVariantResponseType,Intensify->Fill,Intensify,Fill,3,3,100.00
ChangeMatrix,BaseToVariantResponseType,Intensify->Intensify,Intensify,Intensify,46,0,0.00
ChangeMatrix,BaseToVariantResponseType,Intensify->Mirror,Intensify,Mirror,2,2,100.00
ChangeMatrix,BaseToVariantResponseType,Mirror->Complement,Mirror,Complement,4,4,100.00
ChangeMatrix,BaseToVariantResponseType,Mirror->Intensify,Mirror,Intensify,6,6,100.00
ChangeMatrix,BaseToVariantResponseType,Mirror->Mirror,Mirror,Mirror,24,0,0.00
