TurnID,CaptureTime,AnalysisTime,PlanningTime,GenerationTime,PlaybackTriggerTime,TotalLatency,CompileTime,PostCaptureLatency,StructureType,EnergyProfile,VariantKind,ResponseType,HitCount,StepCount,PlaybackTriggerMode,SkeletonSelectedStepCount
Base_H08_Even_Flat,4000,5.8069,13.4556,44.9075,0.178,4066.3075,1.9595,66.3075,Even,Flat,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,23
Variant_H08_Even_Flat,4000,0.035,0.0483,1.6043,0.0896,4001.7796,0.0024,1.7796,Even,Flat,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,23
Base_H08_Even_Increasing,4000,0.0195,0.0374,1.2777,0.0018,4001.3391,0.0027,1.3391,Even,Increasing,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,23
Variant_H08_Even_Increasing,4000,0.0166,0.0657,2.0884,0.0159,4002.1884,0.0018,2.1884,Even,Increasing,Variant,Mirror,8,96,SimulatedUnityPayloadPreparation,10
Base_H08_Even_AccentedEnding,4000,0.0169,0.0269,2.1328,0.002,4002.1898,0.0112,2.1898,Even,AccentedEnding,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,23
Variant_H08_Even_AccentedEnding,4000,0.0165,0.2014,1.2124,0.0221,4001.4564,0.004,1.4564,Even,AccentedEnding,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,23
Base_H08_FrontLoaded_Flat,4000,0.0208,0.0258,2.1954,0.1665,4002.4105,0.002,2.4105,FrontLoaded,Flat,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,21
Variant_H08_FrontLoaded_Flat,4000,0.0156,0.0243,1.4937,0.0016,4001.5371,0.0019,1.5371,FrontLoaded,Flat,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,21
Base_H08_FrontLoaded_Increasing,4000,0.1624,0.0563,1.5283,0.2142,4001.9641,0.0029,1.9641,FrontLoaded,Increasing,Base,Mirror,8,96,SimulatedUnityPayloadPreparation,10
Variant_H08_FrontLoaded_Increasing,4000,0.0423,0.0261,1.0766,0.0016,4001.1488,0.0022,1.1488,FrontLoaded,Increasing,Variant,Mirror,8,96,SimulatedUnityPayloadPreparation,10
Base_H08_FrontLoaded_AccentedEnding,4000,0.0362,0.0291,1.8406,0.018,4001.9277,0.0038,1.9277,FrontLoaded,AccentedEnding,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,21
Variant_H08_FrontLoaded_AccentedEnding,4000,0.0158,0.0249,2.181,0.2122,4002.4357,0.0018,2.4357,FrontLoaded,AccentedEnding,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,22
Base_H08_BackLoaded_Flat,4000,0.0156,0.1657,2.6963,0.0015,4002.8811,0.002,2.8811,BackLoaded,Flat,Base,Fill,8,96,SimulatedUnityPayloadPreparation,27
Variant_H08_BackLoaded_Flat,4000,0.0157,0.1308,2.551,0.0262,4002.7262,0.0025,2.7262,BackLoaded,Flat,Variant,Fill,8,96,SimulatedUnityPayloadPreparation,27
Base_H08_BackLoaded_Increasing,4000,0.0154,0.0514,3.0938,0.0019,4003.1648,0.0023,3.1648,BackLoaded,Increasing,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,21
Variant_H08_BackLoaded_Increasing,4000,0.0157,0.0292,1.7906,0.1358,4001.9734,0.0021,1.9734,BackLoaded,Increasing,Variant,Fill,8,96,SimulatedUnityPayloadPreparation,27
Base_H08_BackLoaded_AccentedEnding,4000,0.0316,0.1047,3.1301,0.0016,4003.2707,0.0027,3.2707,BackLoaded,AccentedEnding,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,21
Variant_H08_BackLoaded_AccentedEnding,4000,0.0208,0.0532,5.2042,0.0066,4005.2997,0.0149,5.2997,BackLoaded,AccentedEnding,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,21
Base_H08_Clustered_Flat,4000,0.0204,0.0334,3.2214,0.0019,4003.2805,0.0034,3.2805,Clustered,Flat,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,16
Variant_H08_Clustered_Flat,4000,0.0311,0.0269,1.9895,0.0943,4002.1436,0.0018,2.1436,Clustered,Flat,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,16
Base_H08_Clustered_Increasing,4000,0.0502,0.0263,1.8507,0.0018,4001.9488,0.0198,1.9488,Clustered,Increasing,Base,Intensify,8,96,SimulatedUnityPayloadPreparation,16
Variant_H08_Clustered_Increasing,4000,0.0137,0.1061,1.2352,0.015,4001.3717,0.0017,1.3717,Clustered,Increasing,Variant,Intensify,8,96,SimulatedUnityPayloadPreparation,17
Base_H08_Clustered_AccentedEnding,4000,0.0162,0.0364,1.1886,0.0015,4001.2455,0.0028,1.2455,Clustered,AccentedEnding,Base,Fill,8,96,SimulatedUnityPayloadPreparation,18
Variant_H08_Clustered_AccentedEnding,4000,0.0153,0.025,2.0518,0.0406,4002.1421,0.0094,2.1421,Clustered,AccentedEnding,Variant,Fill,8,96,SimulatedUnityPayloadPreparation,19
Base_H08_AnchorLed_Flat,4000,0.0218,0.16,1.258,0.002,4001.4451,0.0033,1.4451,AnchorLed,Flat,Base,Fill,8,96,SimulatedUnityPayloadPreparation,18
