SourceId,SourceLabel,SourceCategory,ResponseType,BuilderVersion,PlannerSelected,TotalSteps,SourceHitCount,SourceDensity,SourceHitIndices,SourceSegmentCounts,SourceEndingHitCount,SourceAnchorIndices,SourceAnchorCount,TargetDensity,TargetCount,PreserveAnchors,MirrorEnding,ComplementarityBias,SelectedHitIndices,SelectedHitCount,SelectedDensity,SelectedWeakCount,SelectedMediumCount,SelectedStrongCount,SelectedStrongestCount,SelectedSegmentCounts,SelectedEndingHitCount,SelectedAnchorHitCount,OverlapCount,GapFillCount,OverlapRatio,GapFillRatio,AnchorPreservationRatio,EndingOverlapCount,EndingGapCount,WeakStepRatio,StrongestStepRatio,MetricTierDistribution,SegmentDifferenceFromSource,EndingBias,InterstitialBias,SelectedStepDebug
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Mirror,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.727143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.053393:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.051429:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.068393:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.076793:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.799588:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Complement,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.388393:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.249643:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.993929:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.264643:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.289843:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.035292:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Simplify,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.577143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.064143:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.901429:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.079143:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.135143:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.844156:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Intensify,SkeletonBuilder.DefaultConfig.v1,True,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|6|12|18|24|27|30|33|36|39|42|48|51|54|57|60|66|72|78|81|84|87|90|93,24,0.25,0,8,8,8,4|7|6|7,4,1,4,20,0.166667,0.833333,1,0,4,0,0.333333,weak:0|medium:8|strong:8|strongest:8,0.166667,0.041667,0.25,0:Strongest:score=1.172095:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.835786:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.099595:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.835786:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.68:src=1:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.865786:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.865786:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.938286:src=1:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.865786:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.114595:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.850786:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.665:src=1:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.170595:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.630464:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.901513:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.655991:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Contrast,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.1,10,False,False,0.6,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=0.982143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.212143:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.242143:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.956429:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.242143:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.242143:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.242143:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.227143:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.238343:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.97102:src=0:anchor=0:end=1:forcedEnd=0
Base_H08_Even_Flat,Even Flat H08 Base,Even/Flat,Fill,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|41|54|68|81|95,2|2|2|2,1,0,1,0.258333,25,False,False,0.65,0|6|12|18|24|30|33|36|39|42|45|48|51|54|57|60|63|66|69|72|78|84|87|90|93,25,0.260417,0,9,8,8,4|7|8|6,4,1,2,23,0.08,0.92,1,0,4,0,0.32,weak:0|medium:9|strong:8|strongest:8,0.2,0.035,0.36,0:Strongest:score=0.990952:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.919732:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.090327:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.919732:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.120327:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.949732:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.120327:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.949732:src=0:anchor=0:end=0:forcedEnd=0 | 45:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.120327:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.757857:src=1:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.120327:src=0:anchor=0:end=0:forcedEnd=0 | 63:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.949732:src=0:anchor=0:end=0:forcedEnd=0 | 69:Medium:score=0.704375:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.105327:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.934732:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.113727:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.746321:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.003778:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.784611:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Mirror,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.25,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.727143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.053393:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=1.051429:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.083393:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.068393:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.076793:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.799588:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Complement,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.7,0|12|24|30|36|48|60|72|84|90,10,0.104167,0,0,2,8,2|3|2|3,2,1,1,9,0.1,0.9,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.388393:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.249643:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.993929:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.279643:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.264643:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.289843:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=1.035292:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Simplify,SkeletonBuilder.DefaultConfig.v1,False,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.1,10,True,False,0.35,0|12|24|36|48|54|60|72|84|90,10,0.104167,0,0,2,8,2|2|3|3,2,1,2,8,0.2,0.8,1,0,2,0,0.8,weak:0|medium:0|strong:2|strongest:8,0.2,0.075,0,0:Strongest:score=1.577143:src=1:anchor=1:end=0:forcedEnd=0 | 12:Strongest:score=1.064143:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.901429:src=1:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.094143:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.079143:src=0:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.135143:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.844156:src=0:anchor=0:end=1:forcedEnd=0
Variant_H08_Even_Flat,Even Flat H08 Variant,Even/Flat,Intensify,SkeletonBuilder.DefaultConfig.v1,True,96,8,0.083333,0|14|27|43|54|68|81|95,2|2|2|2,1,0,1,0.253333,24,False,False,0.5,0|6|12|18|24|27|30|33|36|39|42|48|51|54|57|60|66|72|78|81|84|87|90|93,24,0.25,0,8,8,8,4|7|6|7,4,1,4,20,0.166667,0.833333,1,0,4,0,0.333333,weak:0|medium:8|strong:8|strongest:8,0.166667,0.041667,0.25,0:Strongest:score=1.172095:src=1:anchor=1:end=0:forcedEnd=0 | 6:Strong:score=0.835786:src=0:anchor=0:end=0:forcedEnd=0 | 12:Strongest:score=1.099595:src=0:anchor=0:end=0:forcedEnd=0 | 18:Strong:score=0.835786:src=0:anchor=0:end=0:forcedEnd=0 | 24:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 27:Medium:score=0.68:src=1:anchor=0:end=0:forcedEnd=0 | 30:Strong:score=0.865786:src=0:anchor=0:end=0:forcedEnd=0 | 33:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 36:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 39:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 42:Strong:score=0.865786:src=0:anchor=0:end=0:forcedEnd=0 | 48:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 51:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 54:Strong:score=0.938286:src=1:anchor=0:end=0:forcedEnd=0 | 57:Medium:score=0.6075:src=0:anchor=0:end=0:forcedEnd=0 | 60:Strongest:score=1.129595:src=0:anchor=0:end=0:forcedEnd=0 | 66:Strong:score=0.865786:src=0:anchor=0:end=0:forcedEnd=0 | 72:Strongest:score=1.114595:src=0:anchor=0:end=0:forcedEnd=0 | 78:Strong:score=0.850786:src=0:anchor=0:end=0:forcedEnd=0 | 81:Medium:score=0.665:src=1:anchor=0:end=0:forcedEnd=0 | 84:Strongest:score=1.170595:src=0:anchor=0:end=1:forcedEnd=0 | 87:Medium:score=0.630464:src=0:anchor=0:end=1:forcedEnd=0 | 90:Strong:score=0.901513:src=0:anchor=0:end=1:forcedEnd=0 | 93:Medium:score=0.655991:src=0:anchor=0:end=1:forcedEnd=0
