CaseID,SelectedResponseType,TopScore,SecondScore,Margin
Base_H08_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H08_Even_Flat,Intensify,4.125,3.875,0.25
Base_H08_Even_Increasing,Intensify,2.5,2,0.5
Variant_H08_Even_Increasing,Mirror,3.875,3.5,0.375
Base_H08_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H08_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H08_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H08_FrontLoaded_Flat,Intensify,4.125,3.125,1
Base_H08_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Variant_H08_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Base_H08_FrontLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H08_FrontLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H08_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H08_BackLoaded_Flat,Fill,4.125,3.875,0.25
Base_H08_BackLoaded_Increasing,Intensify,2.5,2,0.5
Variant_H08_BackLoaded_Increasing,Fill,3.875,3.625,0.25
Base_H08_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H08_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H08_Clustered_Flat,Intensify,4.625,3.875,0.75
Variant_H08_Clustered_Flat,Intensify,4.625,3.125,1.5
Base_H08_Clustered_Increasing,Intensify,4.625,3.875,0.75
Variant_H08_Clustered_Increasing,Intensify,4.625,3.875,0.75
Base_H08_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Variant_H08_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
Base_H08_AnchorLed_Flat,Fill,3.875,3.125,0.75
Variant_H08_AnchorLed_Flat,Fill,3.875,3.125,0.75
Base_H08_AnchorLed_Increasing,Intensify,2.5,2,0.5
Variant_H08_AnchorLed_Increasing,Intensify,2.5,2,0.5
Base_H08_AnchorLed_AccentedEnding,Intensify,2.5,2,0.5
Variant_H08_AnchorLed_AccentedEnding,Intensify,2.5,2,0.5
Base_H12_Even_Flat,Intensify,4.125,3.875,0.25
Variant_H12_Even_Flat,Intensify,4.125,3.125,1
Base_H12_Even_Increasing,Intensify,2.5,2,0.5
Variant_H12_Even_Increasing,Intensify,2.5,2,0.5
Base_H12_Even_AccentedEnding,Intensify,2.5,2,0.5
Variant_H12_Even_AccentedEnding,Intensify,2.5,2,0.5
Base_H12_FrontLoaded_Flat,Intensify,4.125,3.125,1
Variant_H12_FrontLoaded_Flat,Intensify,4.125,3.125,1
Base_H12_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Variant_H12_FrontLoaded_Increasing,Mirror,3.875,3.5,0.375
Base_H12_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Variant_H12_FrontLoaded_AccentedEnding,Mirror,3.875,3.5,0.375
Base_H12_BackLoaded_Flat,Fill,4.125,3.875,0.25
Variant_H12_BackLoaded_Flat,Fill,4.125,3.875,0.25
Base_H12_BackLoaded_Increasing,Intensify,2.5,2,0.5
Variant_H12_BackLoaded_Increasing,Intensify,2.5,2,0.5
Base_H12_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Variant_H12_BackLoaded_AccentedEnding,Intensify,2.5,2,0.5
Base_H12_Clustered_Flat,Intensify,4.625,3.125,1.5
Variant_H12_Clustered_Flat,Intensify,4.625,3.875,0.75
Base_H12_Clustered_Increasing,Fill,3.875,3.625,0.25
Variant_H12_Clustered_Increasing,Intensify,4.625,3.875,0.75
Base_H12_Clustered_AccentedEnding,Fill,3.875,3.625,0.25
