CaseID,ResponseType,Overlap,GapFill,AnchorPreservation,SelectedStepCount,SourceStepCount,MeanPairwiseJaccardDistance
Base_H08_AnchorLed_AccentedEnding,Mirror,0.5,0.5,1,10,8,0.607599
Base_H08_AnchorLed_AccentedEnding,Complement,0.111111,0.888889,0.333333,9,8,0.630536
Base_H08_AnchorLed_AccentedEnding,Simplify,1,0,1,3,8,0.832357
Base_H08_AnchorLed_AccentedEnding,Intensify,0.3125,0.6875,1,16,8,0.559951
Base_H08_AnchorLed_AccentedEnding,Contrast,0.1,0.9,0.333333,10,8,0.63449
Base_H08_AnchorLed_AccentedEnding,Fill,0.352941,0.647059,1,17,8,0.543959
Base_H08_AnchorLed_Flat,Mirror,0.5,0.5,1,10,8,0.600407
Base_H08_AnchorLed_Flat,Complement,0.111111,0.888889,0.5,9,8,0.617607
Base_H08_AnchorLed_Flat,Simplify,1,0,1,2,8,0.874596
Base_H08_AnchorLed_Flat,Intensify,0.3125,0.6875,1,16,8,0.562451
Base_H08_AnchorLed_Flat,Contrast,0.1,0.9,0.5,10,8,0.622844
Base_H08_AnchorLed_Flat,Fill,0.333333,0.666667,1,18,8,0.53193
Base_H08_AnchorLed_Increasing,Mirror,0.5,0.5,1,10,8,0.607599
Base_H08_AnchorLed_Increasing,Complement,0.111111,0.888889,0.333333,9,8,0.630536
Base_H08_AnchorLed_Increasing,Simplify,1,0,1,3,8,0.832357
Base_H08_AnchorLed_Increasing,Intensify,0.3125,0.6875,1,16,8,0.559951
Base_H08_AnchorLed_Increasing,Contrast,0.1,0.9,0.333333,10,8,0.63449
Base_H08_AnchorLed_Increasing,Fill,0.352941,0.647059,1,17,8,0.543959
Base_H08_BackLoaded_AccentedEnding,Mirror,0.8,0.2,1,10,8,0.657593
Base_H08_BackLoaded_AccentedEnding,Complement,0.1,0.9,0.25,10,8,0.702783
Base_H08_BackLoaded_AccentedEnding,Simplify,0.857143,0.142857,1,7,8,0.693846
Base_H08_BackLoaded_AccentedEnding,Intensify,0.333333,0.666667,1,21,8,0.606277
Base_H08_BackLoaded_AccentedEnding,Contrast,0.1,0.9,0.25,10,8,0.692013
Base_H08_BackLoaded_AccentedEnding,Fill,0.2,0.8,0.75,25,8,0.626044
Base_H08_BackLoaded_Flat,Mirror,0.7,0.3,1,10,8,0.657715
Base_H08_BackLoaded_Flat,Complement,0.1,0.9,0.5,10,8,0.694591
Base_H08_BackLoaded_Flat,Simplify,0.833333,0.166667,1,6,8,0.72127
Base_H08_BackLoaded_Flat,Intensify,0.333333,0.666667,1,21,8,0.601909
Base_H08_BackLoaded_Flat,Contrast,0.1,0.9,0.5,10,8,0.670097
Base_H08_BackLoaded_Flat,Fill,0.185185,0.814815,1,27,8,0.642023
Base_H08_BackLoaded_Increasing,Mirror,0.8,0.2,1,10,8,0.657593
Base_H08_BackLoaded_Increasing,Complement,0.1,0.9,0.2,10,8,0.702783
Base_H08_BackLoaded_Increasing,Simplify,0.857143,0.142857,1,7,8,0.693846
Base_H08_BackLoaded_Increasing,Intensify,0.333333,0.666667,1,21,8,0.606277
Base_H08_BackLoaded_Increasing,Contrast,0.1,0.9,0.2,10,8,0.692013
Base_H08_BackLoaded_Increasing,Fill,0.2,0.8,0.8,25,8,0.626044
Base_H08_Clustered_AccentedEnding,Mirror,0.6,0.4,1,10,8,0.64943
Base_H08_Clustered_AccentedEnding,Complement,0.111111,0.888889,1,9,8,0.679298
Base_H08_Clustered_AccentedEnding,Simplify,1,0,1,2,8,0.872778
Base_H08_Clustered_AccentedEnding,Intensify,0.375,0.625,1,16,8,0.56579
Base_H08_Clustered_AccentedEnding,Contrast,0.111111,0.888889,1,9,8,0.679342
Base_H08_Clustered_AccentedEnding,Fill,0.333333,0.666667,1,18,8,0.540936
Base_H08_Clustered_Flat,Mirror,0.6,0.4,0,10,8,0.64943
Base_H08_Clustered_Flat,Complement,0.111111,0.888889,0,9,8,0.679298
Base_H08_Clustered_Flat,Simplify,1,0,0,2,8,0.872778
Base_H08_Clustered_Flat,Intensify,0.375,0.625,0,16,8,0.56579
Base_H08_Clustered_Flat,Contrast,0.111111,0.888889,0,9,8,0.679342
Base_H08_Clustered_Flat,Fill,0.333333,0.666667,0,18,8,0.540936
Base_H08_Clustered_Increasing,Mirror,0.6,0.4,0,10,8,0.64943
Base_H08_Clustered_Increasing,Complement,0.111111,0.888889,0,9,8,0.679298
Base_H08_Clustered_Increasing,Simplify,1,0,0,2,8,0.872778
Base_H08_Clustered_Increasing,Intensify,0.375,0.625,0,16,8,0.56579
Base_H08_Clustered_Increasing,Contrast,0.111111,0.888889,0,9,8,0.679342
Base_H08_Clustered_Increasing,Fill,0.333333,0.666667,0,18,8,0.540936
Base_H08_Even_AccentedEnding,Mirror,0.7,0.3,1,10,8,0.643043
Base_H08_Even_AccentedEnding,Complement,0.1,0.9,0.5,10,8,0.64241
Base_H08_Even_AccentedEnding,Simplify,0.5,0.5,1,6,8,0.656031
Base_H08_Even_AccentedEnding,Intensify,0.304348,0.695652,1,23,8,0.612192
Base_H08_Even_AccentedEnding,Contrast,0.1,0.9,0.5,10,8,0.620641
Base_H08_Even_AccentedEnding,Fill,0.16,0.84,0.5,25,8,0.65263
