CaseID,ResponseType,TargetDensity,ActualDensity,DensityError,PreserveAnchors,ActualAnchorPreservation,AnchorMismatch,ComplementarityBias,ActualGapFill,GapMismatch,StructureType,EnergyProfile,VariantKind
Base_H08_AnchorLed_AccentedEnding,Intensify,0.240833,0.166667,0.0741663,False,1,1,0.5,0.6875,0.1875,AnchorLed,AccentedEnding,Base
Base_H08_AnchorLed_Flat,Fill,0.283333,0.1875,0.095833,False,1,1,0.65,0.666667,0.016667,AnchorLed,Flat,Base
Base_H08_AnchorLed_Increasing,Intensify,0.240833,0.166667,0.0741663,False,1,1,0.5,0.6875,0.1875,AnchorLed,Increasing,Base
Base_H08_BackLoaded_AccentedEnding,Intensify,0.240833,0.21875,0.022083,False,1,1,0.5,0.666667,0.166667,BackLoaded,AccentedEnding,Base
Base_H08_BackLoaded_Flat,Fill,0.283333,0.28125,0.002083,False,1,1,0.65,0.814815,0.164815,BackLoaded,Flat,Base
Base_H08_BackLoaded_Increasing,Intensify,0.240833,0.21875,0.022083,False,1,1,0.5,0.666667,0.166667,BackLoaded,Increasing,Base
Base_H08_Clustered_AccentedEnding,Fill,0.283333,0.1875,0.095833,False,1,1,0.7,0.666667,0.033333,Clustered,AccentedEnding,Base
Base_H08_Clustered_Flat,Intensify,0.253333,0.166667,0.0866663,False,0,0,0.55,0.625,0.075,Clustered,Flat,Base
Base_H08_Clustered_Increasing,Intensify,0.253333,0.166667,0.0866663,False,0,0,0.55,0.625,0.075,Clustered,Increasing,Base
Base_H08_Even_AccentedEnding,Intensify,0.240833,0.239583,0.00124967,False,1,1,0.5,0.695652,0.195652,Even,AccentedEnding,Base
Base_H08_Even_Flat,Intensify,0.253333,0.239583,0.0137497,False,1,1,0.5,0.695652,0.195652,Even,Flat,Base
Base_H08_Even_Increasing,Intensify,0.240833,0.239583,0.00124967,False,1,1,0.5,0.695652,0.195652,Even,Increasing,Base
